Strain ID;Systematic gene name;Allele/Gene name;Single mutant fitness (26°);Single mutant fitness (26°) stddev;Single mutant fitness (30°);Single mutant fitness (30°) stddev;;;;;
YBL041W_tsq1293;YBL041W;pre7-5001;0,8625;0,1483;0,8102;0,2105;;;;;
YBL042C_dma129;YBL042C;fui1;0,9968;0,0383;0,9968;0,0383;;;;;
YBL042C_sn2394;YBL042C;fui1;0,9968;0,0383;0,9968;0,0383;;;;;
YBL043W_dma128;YBL043W;ecm13;1,0053;0,0631;1,0053;0,0631;;;;;
YBL043W_sn711;YBL043W;ecm13;1,0053;0,0631;1,0053;0,0631;;;;;
YBL044W_sn3098;YBL044W;ybl044w;1,038;0,0332;1,038;0,0332;;;;;
YBL045C_damp1120;YBL045C;cor1_damp;1,003;0,0073;1,003;0,0073;;;;;
YBL046W_dma127;YBL046W;psy4;1,0255;0,0626;1,0255;0,0626;;;;;
YBL046W_sn3724;YBL046W;psy4;1,0255;0,0626;1,0255;0,0626;;;;;
YBL047C_dma126;YBL047C;ede1;0,982;0,0673;0,982;0,0673;;;;;
YBL047C_sn164;YBL047C;ede1;0,982;0,0673;0,982;0,0673;;;;;
YBL048W_dma125;YBL048W;rrt1;1,0315;0,0115;1,0315;0,0115;;;;;
YBL049W_dma124;YBL049W;moh1;1,0103;0,0718;1,0103;0,0718;;;;;
YBL049W_sn3073;YBL049W;moh1;1,0103;0,0718;1,0103;0,0718;;;;;
YBL050W_damp194;YBL050W;sec17_damp;0,944;0,0448;0,944;0,0448;;;;;
YBL050W_tsa45;YBL050W;sec17-1;0,8398;0,024;0,6747;0,0267;;;;;
YBL050W_tsq48;YBL050W;sec17-1;0,8398;0,024;0,6747;0,0267;;;;;
YBL051C_dma123;YBL051C;pin4;0,917;0,104;0,917;0,104;;;;;
YBL051C_sn1352;YBL051C;pin4;0,917;0,104;0,917;0,104;;;;;
YBL052C_dma122;YBL052C;sas3;1,004;0,117;1,004;0,117;;;;;
YBL052C_sn1794;YBL052C;sas3;1,004;0,117;1,004;0,117;;;;;
YBL053W_dma144;YBL053W;ybl053w;0,984;0,013;0,984;0,013;;;;;
YBL054W_dma143;YBL054W;tod6;1,033;0,0132;1,033;0,0132;;;;;
YBL055C_dma142;YBL055C;ybl055c;1,0148;0,079;1,0148;0,079;;;;;
YBL055C_sn3424;YBL055C;ybl055c;1,0148;0,079;1,0148;0,079;;;;;
YBL056W_dma141;YBL056W;ptc3;1,0225;0,0352;1,0225;0,0352;;;;;
YBL057C_dma140;YBL057C;pth2;1,0343;0,0745;1,0343;0,0745;;;;;
YBL057C_sn3843;YBL057C;pth2;1,0343;0,0745;1,0343;0,0745;;;;;
YBL058W_sn1072;YBL058W;shp1;0,773;0,0188;0,773;0,0188;;;;;
YBL059C-A_sn3551;YBL059C-A;cmc2;0,754;0,0667;0,754;0,0667;;;;;
YBL059W_dma139;YBL059W;ybl059w;0,9118;0,0977;0,9118;0,0977;;;;;
YBL059W_sn2543;YBL059W;ybl059w;0,9118;0,0977;0,9118;0,0977;;;;;
YBL060W_dma138;YBL060W;yel1;0,9915;0,0553;0,9915;0,0553;;;;;
YBL060W_sn3552;YBL060W;yel1;0,9915;0,0553;0,9915;0,0553;;;;;
YBL061C_dma137;YBL061C;skt5;1,0023;0,0278;1,0023;0,0278;;;;;
YBL061C_sn1237;YBL061C;skt5;1,0023;0,0278;1,0023;0,0278;;;;;
YBL062W_dma136;YBL062W;ybl062w;0,981;0,0117;0,981;0,0117;;;;;
YBL063W_dma135;YBL063W;kip1;1,0228;0,0566;1,0228;0,0566;;;;;
YBL063W_sn1436;YBL063W;kip1;1,0228;0,0566;1,0228;0,0566;;;;;
YBL064C_dma134;YBL064C;prx1;1,0082;0,0299;1,0082;0,0299;;;;;
YBL064C_sn1586;YBL064C;prx1;1,0082;0,0299;1,0082;0,0299;;;;;
YBL065W_dma156;YBL065W;ybl065w;0,9845;0,0355;0,9845;0,0355;;;;;
YBL066C_dma155;YBL066C;sef1;0,9958;0,0497;0,9958;0,0497;;;;;
YBL066C_sn624;YBL066C;sef1;0,9958;0,0497;0,9958;0,0497;;;;;
