gene_name	number_of_transposon_per_gene	number_of_read_pergene
ICE2 	16 	141 	
YIL089W 	22 	940 	
AVT7 	40 	1695 	
AIM19 	9 	74 	
YIL086C 	18 	1198 	
KTR7 	45 	3316 	
SDS3 	9 	207 	
CAB2 	5 	14 	
YIL082W 	11 	1655 	
AIR1 	28 	571 	
THS1 	4 	24 	
YIL077C 	72 	9612 	
SEC28 	3 	84 	
RPN2 	11 	171 	
SER33 	49 	4077 	
SPO22 	57 	2807 	
HOP1 	59 	887 	
YIL071W-A 	3 	10 	
PCI8 	20 	594 	
MAM33 	21 	646 	
RPS24B 	12 	225 	
YIL068W-A 	12 	598 	
SEC6 	15 	606 	
YIL067C 	77 	3898 	
YIL066W-A 	10 	334 	
RNR3 	43 	2806 	
FIS1 	14 	1544 	
SEE1 	39 	2483 	
YRB2 	6 	14 	
ARC15 	0 	0 	
SNP1 	24 	182 	
YIL060W 	9 	58 	
YIL059C 	12 	253 	
YIL058W 	20 	1922 	
RGI2 	19 	1463 	
VHR1 	61 	2229 	
YIL055C 	55 	6584 	
YIL054W 	28 	2996 	
GPP1 	19 	409 	
RPL34B 	10 	23 	
MMF1 	14 	174 	
PCL7 	25 	671 	
DFG10 	25 	544 	
NEO1 	6 	34 	
YIL047C-A 	25 	1284 	
SYG1 	90 	3483 	
YIL046W-A 	17 	2643 	
MET30 	5 	137 	
PIG2 	46 	2500 	
AGE2 	22 	1571 	
CBR1 	32 	2279 	
PKP1 	49 	3143 	
GVP36 	26 	678 	
APQ12 	7 	114 	
TED1 	55 	5124 	
NOT3 	31 	1141 	
PRM2 	44 	2652 	
CST6 	20 	1258 	
CKA1 	39 	1476 	
CAP2 	19 	1043 	
BCY1 	11 	544 	
YIL032C 	15 	549 	
ULP2 	35 	1612 	
YIL030W-A 	18 	436 	
SSM4 	74 	5001 	
YIL029W-A 	18 	1079 	
YIL029C 	13 	86 	
YIL028W 	8 	159 	
EMC5 	17 	581 	
IRR1 	22 	1143 	
YIL025C 	11 	521 	
YIL024C 	20 	894 	
YKE4 	63 	3879 	
TIM44 	4 	8 	
RPB3 	6 	316 	
YIL021C-A 	0 	0 	
YIL020C-A 	14 	834 	
HIS6 	31 	1766 	
FAF1 	10 	186 	
RPL2B 	21 	328 	
VID28 	103 	5561 	
SNL1 	24 	1096 	
BAR1 	96 	6175 	
YIL014C-A 	14 	416 	
MNT3 	52 	4207 	
PDR11 	196 	11289 	
YIL012W 	30 	1470 	
TIR3 	33 	1774 	
DOT5 	27 	1905 	
EST3 	29 	3834 	
FAA3 	137 	11667 	
URM1 	19 	1457 	
NAS2 	40 	5912 	
YIA6 	90 	5845 	
EPS1 	142 	16764 	
BET1 	1 	0 	
CFD1 	6 	1406 	
YIL002W-A 	16 	1031 	
INP51 	234 	40035 	
YIL001W 	135 	27928 	
SGN1 	76 	4856 	
MPH1 	226 	30209 	
AIM21 	134 	14995 	
DJP1 	77 	7425 	
IST3 	38 	3344 	
PAN1 	193 	18840 	
YIR007W 	106 	9044 	
PRI1 	1 	0 	
MSL1 	21 	593 	
DSN1 	20 	582 	
STS1 	7 	55 	
SQT1 	4 	136 	
GAT4 	19 	1641 	
YIR014W 	54 	4474 	
RPR2 	10 	316 	
YIR016W 	73 	7694 	
MET28 	37 	11218 	
YIR017W-A 	43 	11344 	
YAP5 	36 	4227 	
YIR018C-A 	12 	267 	
FLO11 	30 	2347 	
YIR020C 	11 	286 	
YIR020W-A 	10 	359 	
YIR020C-B 	23 	1236 	
MRS1 	32 	996 	
YIR021W-A 	17 	1880 	
SEC11 	0 	0 	
DAL81 	62 	2418 	
YIR023C-A 	12 	32 	
INA22 	25 	919 	
MND2 	20 	1008 	
YVH1 	32 	2403 	
DAL1 	60 	5264 	
DAL4 	87 	4990 	
DAL2 	46 	3077 	
DCG1 	33 	2688 	
YIR030W-A 	18 	447 	
DAL7 	51 	2584 	
DAL3 	39 	2458 	
MGA2 	60 	2598 	
LYS1 	39 	2322 	
YIR035C 	34 	2937 	
IRC24 	37 	2350 	
YIR036W-A 	14 	712 	
HYR1 	11 	608 	
GTT1 	20 	1597 	
YPS6 	21 	279 	
YIR040C 	3 	2 	
PAU15 	1 	0 	
YIR042C 	8 	174 	
YJL225C 	0 	0 	
YJL225W-A 	0 	0 	
PAU1 	0 	0 	
YJL222W-B 	0 	0 	
YJL222W-A 	0 	0 	
VTH2 	6 	667 	
IMA4 	0 	0 	
YJL220W 	0 	0 	
HXT9 	10 	243 	
YJL218W 	10 	103 	
REE1 	12 	323 	
IMA5 	18 	198 	
YJL215C 	8 	77 	
HXT8 	24 	1558 	
YJL213W 	13 	311 	
OPT1 	45 	3650 	
YJL211C 	30 	3316 	
PEX2 	45 	2856 	
CBP1 	29 	666 	
NUC1 	19 	1117 	
LAA1 	65 	2423 	
YJL206C 	28 	2698 	
NCE101 	13 	665 	
RCY1 	29 	491 	
PRP21 	8 	114 	
YJL202C 	8 	619 	
ECM25 	41 	1328 	
ACO2 	36 	2042 	
MBB1 	8 	186 	
PHO90 	55 	3829 	
UBP12 	32 	1342 	
YJL197C-A 	0 	0 	
ELO1 	10 	282 	
YJL195C 	0 	0 	
CDC6 	1 	0 	
YJL193W 	15 	312 	
SOP4 	23 	566 	
RPS14B 	24 	1460 	
RPS22A 	7 	154 	
RPL39 	9 	91 	
BUD19 	5 	48 	
SWE1 	40 	1505 	
MNN5 	36 	2583 	
ATG36 	15 	500 	
GON7 	1 	0 	
MNN11 	15 	1144 	
YJL182C 	23 	161 	
YJL181W 	30 	1570 	
ATP12 	14 	115 	
PFD1 	3 	11 	
ATG27 	14 	568 	
RPL17B 	3 	3 	
SWI3 	8 	501 	
YJL175W 	2 	100 	
KRE9 	1 	0 	
RFA3 	0 	0 	
CPS1 	19 	1136 	
YJL171C 	17 	1089 	
ASG7 	12 	636 	
YJL169W 	1 	0 	
SET2 	14 	759 	
ERG20 	1 	0 	
QCR8 	5 	21 	
HAL5 	49 	2124 	
TPK1 	22 	854 	
YJL163C 	48 	2025 	
JJJ2 	42 	1676 	
FMP33 	24 	945 	
YJL160C 	19 	823 	
HSP150 	12 	195 	
CIS3 	24 	547 	
FAR1 	38 	1614 	
YJL156W-A 	15 	1332 	
SSY5 	2 	1 	
FBP26 	30 	1376 	
VPS35 	22 	320 	
INO1 	47 	1341 	
YJL152W 	33 	7153 	
SNA3 	18 	3515 	
YJL150W 	25 	1715 	
DAS1 	22 	799 	
RPA34 	10 	437 	
YJL147C 	17 	216 	
IDS2 	37 	2454 	
SFH5 	35 	1945 	
YJL144W 	5 	391 	
TIM17 	4 	117 	
IRC9 	5 	61 	
YAK1 	24 	1920 	
RPB4 	2 	5 	
YUR1 	28 	859 	
TIF2 	8 	224 	
GLG2 	18 	801 	
YJL136W-A 	5 	87 	
RPS21B 	6 	102 	
YJL135W 	16 	593 	
LCB3 	33 	1638 	
YJL133C-A 	15 	1035 	
MRS3 	26 	753 	
YJL132W 	50 	3774 	
AIM23 	21 	823 	
URA2 	92 	5782 	
TRK1 	15 	277 	
PBS2 	23 	578 	
YJL127W-A 	3 	48 	
YJL127C-B 	3 	45 	
SPT10 	34 	1467 	
NIT2 	17 	1762 	
GCD14 	0 	0 	
LSM1 	1 	0 	
MTC1 	19 	878 	
ALB1 	15 	609 	
RPE1 	13 	187 	
YJL120W 	14 	1628 	
YJL119C 	18 	1482 	
YJL118W 	28 	1494 	
PHO86 	22 	1005 	
NCA3 	27 	868 	
ASF1 	11 	246 	
MDV1 	54 	3188 	
CCT7 	7 	75 	
GZF3 	15 	568 	
UTP10 	11 	391 	
PRM10 	20 	1368 	
YJL107C 	22 	909 	
IME2 	27 	1027 	
SET4 	33 	980 	
PAM16 	0 	0 	
GSM1 	23 	1030 	
MEF2 	32 	1106 	
GSH1 	6 	48 	
LSB6 	46 	2692 	
CHS6 	62 	1960 	
SAP185 	37 	1846 	
PHS1 	3 	96 	
MRPL49 	10 	642 	
BCK1 	23 	418 	
KHA1 	45 	1463 	
TOK1 	31 	1914 	
SRS2 	55 	2459 	
GWT1 	2 	36 	
DPB11 	5 	27 	
SIP4 	36 	1176 	
ARG3 	19 	1172 	
TRL1 	2 	8 	
YJL086C 	23 	345 	
EXO70 	1 	0 	
ALY2 	38 	1973 	
TAX4 	44 	1833 	
IML2 	31 	1094 	
ARP4 	0 	0 	
SCP160 	22 	322 	
PRY1 	18 	851 	
PRY3 	76 	4943 	
YJL077W-B 	0 	0 	
ICS3 	21 	1947 	
YJL077W-A 	1 	0 	
NET1 	47 	2022 	
APQ13 	7 	36 	
SMC3 	2 	2 	
JEM1 	34 	1452 	
PSF2 	2 	4 	
ARG2 	22 	1004 	
YJL070C 	46 	2145 	
UTP18 	4 	3 	
YJL068C 	34 	2319 	
YJL067W 	15 	1037 	
MPM1 	26 	2051 	
DLS1 	19 	976 	
YJL064W 	13 	588 	
MRPL8 	17 	179 	
COA3 	13 	1126 	
LAS21 	37 	1994 	
NUP82 	4 	5 	
BNA3 	29 	1647 	
YHC3 	36 	1612 	
BIT61 	46 	1802 	
IKS1 	35 	813 	
ZAP1 	6 	79 	
YJL055W 	38 	2017 	
TIM54 	7 	96 	
PEP8 	21 	447 	
YJL052C-A 	8 	1455 	
TDH1 	28 	1435 	
IRC8 	92 	8299 	
MTR4 	3 	2 	
YJL049W 	11 	486 	
UBX6 	36 	1829 	
YJL047C-A 	10 	99 	
RTT101 	39 	587 	
AIM22 	10 	181 	
YJL045W 	52 	2933 	
GYP6 	37 	1626 	
YJL043W 	57 	9258 	
MHP1 	109 	4797 	
NSP1 	4 	47 	
NUP192 	11 	237 	
LOH1 	3 	3 	
IRC18 	34 	2402 	
SNX4 	28 	1329 	
TAD2 	1 	0 	
KAR2 	1 	0 	
HCA4 	1 	0 	
YJL032W 	1 	0 	
BET4 	2 	3 	
MAD2 	41 	2862 	
VPS53 	31 	1719 	
YJL028W 	23 	12334 	
YJL027C 	27 	10345 	
RNR2 	10 	308 	
YJL026C-A 	0 	0 	
RRN7 	3 	3 	
APS3 	42 	2758 	
PET130 	36 	1635 	
YJL022W 	9 	161 	
BBC1 	104 	6085 	
YJL020W-A 	7 	129 	
MPS3 	28 	3145 	
YJL016W 	67 	5638 	
YJL015C 	17 	2578 	
CCT3 	3 	2 	
MAD3 	102 	8257 	
VTC4 	99 	7277 	
RPC17 	2 	1 	
NOP9 	24 	214 	
YJL009W 	8 	384 	
CCT8 	1 	0 	
YJL007C 	25 	3517 	
CTK2 	11 	793 	
CYR1 	42 	1450 	
SYS1 	64 	7890 	
COX16 	35 	2640 	
OST1 	3 	220 	
PRE3 	5 	646 	
AVT1 	149 	49627 	
MPP10 	82 	4709 	
YJR003C 	95 	17502 	
SAG1 	161 	15834 	
APL1 	112 	7812 	
YJR005C-A 	19 	973 	
POL31 	0 	0 	
SUI2 	11 	320 	
MHO1 	86 	10204 	
TDH2 	50 	6047 	
MET3 	88 	9126 	
SPC1 	16 	1589 	
YJR011C 	40 	1757 	
YJR012C 	41 	5590 	
GPI14 	1 	0 	
TMA22 	37 	1619 	
YJR015W 	70 	4687 	
ILV3 	2 	1 	
ESS1 	5 	59 	
YJR018W 	13 	899 	
TES1 	73 	12305 	
YJR020W 	22 	3808 	
REC107 	59 	7756 	
LSM8 	1 	0 	
YJR023C 	2 	2 	
MDE1 	39 	3300 	
BNA1 	35 	1321 	
YJR030C 	99 	8606 	
GEA1 	169 	6812 	
CPR7 	39 	1753 	
RAV1 	44 	971 	
PET191 	13 	391 	
RAD26 	70 	3094 	
HUL4 	49 	2975 	
YJR037W 	10 	416 	
YJR038C 	16 	1343 	
YJR039W 	76 	6784 	
GEF1 	33 	473 	
URB2 	1 	0 	
NUP85 	10 	99 	
POL32 	36 	1473 	
VPS55 	15 	556 	
SSC1 	2 	4 	
TAH11 	1 	0 	
ANB1 	21 	1880 	
CYC1 	16 	617 	
UTR1 	34 	1660 	
ISY1 	35 	3572 	
OSM1 	56 	3074 	
RAD7 	50 	1480 	
BFA1 	36 	4396 	
KCH1 	34 	1371 	
HIT1 	16 	639 	
YJR056C 	19 	508 	
CDC8 	0 	0 	
APS2 	15 	636 	
PTK2 	27 	739 	
CBF1 	22 	400 	
YJR061W 	74 	7149 	
NTA1 	31 	2211 	
RPA12 	3 	128 	
CCT5 	2 	45 	
ARP3 	0 	0 	
TOR1 	135 	7725 	
YAE1 	0 	0 	
RFC2 	1 	0 	
HAM1 	18 	1083 	
LIA1 	20 	705 	
YJR071W 	12 	236 	
NPA3 	23 	1302 	
OPI3 	19 	547 	
MOG1 	29 	2033 	
HOC1 	33 	1608 	
CDC11 	20 	319 	
MIR1 	24 	1539 	
BNA2 	81 	7748 	
YJR079W 	40 	1469 	
AIM24 	35 	1783 	
EAF6 	6 	216 	
ACF4 	19 	368 	
YJR084W 	35 	3400 	
YJR085C 	12 	499 	
STE18 	10 	177 	
YJR087W 	7 	76 	
EMC2 	17 	401 	
BIR1 	39 	1994 	
GRR1 	28 	581 	
JSN1 	38 	2197 	
BUD4 	89 	5348 	
FIP1 	7 	178 	
IME1 	25 	1070 	
RPL43B 	13 	454 	
SFC1 	34 	1909 	
YJR096W 	30 	1190 	
JJJ3 	6 	301 	
YJR098C 	37 	1544 	
YUH1 	12 	79 	
AIM25 	32 	1993 	
RSM26 	14 	354 	
VPS25 	8 	35 	
URA8 	89 	7469 	
SOD1 	8 	297 	
ADO1 	22 	286 	
ECM27 	36 	1282 	
YJR107W 	18 	374 	
ABM1 	18 	3702 	
CPA2 	44 	1607 	
YMR1 	60 	4308 	
YJR111C 	29 	1634 	
NNF1 	1 	0 	
YJR112W-A 	20 	642 	
RSM7 	27 	1147 	
YJR114W 	15 	1294 	
YJR115W 	26 	2177 	
TDA4 	27 	2485 	
STE24 	32 	1977 	
ILM1 	2 	28 	
JHD2 	37 	850 	
YJR120W 	20 	1120 	
ATP2 	7 	65 	
IBA57 	11 	88 	
RPS5 	0 	0 	
YJR124C 	32 	1120 	
ENT3 	19 	623 	
VPS70 	29 	1550 	
RSF2 	154 	9732 	
YJR128W 	24 	727 	
YJR129C 	50 	3963 	
STR2 	37 	1202 	
MNS1 	34 	3217 	
NMD5 	38 	2433 	
XPT1 	17 	361 	
SGM1 	30 	751 	
MCM22 	8 	374 	
TIM8 	0 	0 	
TTI2 	0 	0 	
MET5 	53 	2952 	
IML1 	28 	1012 	
HOM6 	33 	1068 	
HIR3 	45 	2222 	
YJR140W-A 	4 	72 	
YJR141W 	0 	0 	
YJR142W 	21 	1239 	
PMT4 	44 	1961 	
MGM101 	25 	952 	
RPS4A 	7 	89 	
YJR146W 	19 	1207 	
HMS2 	26 	719 	
BAT2 	78 	5773 	
YJR149W 	31 	1992 	
DAN1 	23 	1902 	
DAN4 	25 	515 	
YJR151W-A 	3 	18 	
DAL5 	16 	587 	
PGU1 	13 	338 	
YJR154W 	48 	2300 	
AAD10 	20 	698 	
THI11 	8 	74 	
YJR157W 	0 	0 	
HXT16 	5 	5 	
SOR1 	0 	0 	
MPH3 	5 	316 	
COS5 	3 	12 	
YJR162C 	0 	0 	
YKL225W 	5 	12 	
PAU16 	0 	0 	
YKL223W 	5 	214 	
YKL222C 	33 	812 	
MCH2 	49 	3404 	
FRE2 	24 	1822 	
COS9 	18 	977 	
SRY1 	32 	3314 	
JEN1 	41 	3002 	
URA1 	10 	211 	
OXP1 	139 	9121 	
YRA2 	13 	757 	
DOA1 	20 	555 	
SAC1 	10 	262 	
TRP3 	30 	1854 	
UBA1 	1 	0 	
STE6 	52 	3459 	
CBT1 	11 	197 	
EMC3 	20 	1052 	
ADD66 	12 	327 	
LOS1 	34 	1386 	
EAP1 	27 	819 	
TOR2 	6 	27 	
YKL202W 	5 	137 	
MNN4 	69 	1972 	
PTK1 	121 	16595 	
PEX1 	111 	6565 	
YKT6 	2 	1 	
MIA40 	4 	15 	
MST1 	21 	1048 	
SDS22 	1 	0 	
ACP1 	1 	0 	
DPH2 	27 	1390 	
CNB1 	5 	18 	
HYM1 	1 	0 	
PXA2 	38 	2015 	
FAT3 	59 	3083 	
MTR2 	10 	593 	
ASH1 	44 	2519 	
SPE1 	7 	63 	
YKL183C-A 	15 	1759 	
LOT5 	44 	3611 	
FAS1 	0 	0 	
PRS1 	5 	8 	
RPL17A 	1 	0 	
COY1 	19 	399 	
STE3 	28 	3023 	
YKL177W 	6 	380 	
LST4 	24 	710 	
ZRT3 	19 	590 	
TPO5 	17 	173 	
SNU114 	5 	6 	
EBP2 	2 	48 	
NNK1 	42 	2509 	
MRPL38 	6 	123 	
YKL169C 	4 	72 	
KKQ8 	44 	1794 	
MRP49 	10 	139 	
TPK3 	34 	1249 	
YKL165C-A 	7 	342 	
MCD4 	2 	2 	
PIR1 	7 	31 	
PIR3 	14 	193 	
YKL162C-A 	3 	51 	
YKL162C 	13 	826 	
KDX1 	15 	150 	
ELF1 	6 	138 	
RCN1 	17 	540 	
APE2 	56 	2105 	
RPS27A 	14 	315 	
YKL156C-A 	1 	0 	
RSM22 	38 	1392 	
SRP102 	3 	18 	
YKL153W 	1 	0 	
GPM1 	1 	0 	
YKL151C 	48 	4087 	
MCR1 	36 	1488 	
DBR1 	26 	392 	
SDH1 	54 	2919 	
YKL147C 	28 	2650 	
AVT3 	40 	2734 	
RPT1 	0 	0 	
YKL145W-A 	0 	0 	
RPC25 	0 	0 	
LTV1 	14 	814 	
MRP8 	8 	251 	
SDH3 	7 	24 	
TGL1 	15 	457 	
CTK1 	0 	0 	
HSK3 	0 	0 	
MRPL31 	5 	58 	
CMC1 	1 	0 	
YKL136W 	7 	186 	
APL2 	27 	715 	
OCT1 	29 	1031 	
YKL133C 	23 	745 	
RMA1 	16 	188 	
YKL131W 	9 	49 	
SHE2 	4 	29 	
MYO3 	60 	2410 	
PMU1 	43 	3168 	
PGM1 	73 	3701 	
YPK1 	10 	84 	
RRN3 	13 	249 	
SSH4 	20 	578 	
YKL123W 	6 	47 	
SRP21 	9 	377 	
DGR2 	29 	1398 	
OAC1 	19 	553 	
VPH2 	5 	149 	
YKL118W 	9 	1373 	
SBA1 	5 	420 	
PRR1 	29 	1107 	
YKL115C 	14 	44 	
APN1 	40 	2085 	
RAD27 	28 	335 	
ABF1 	5 	46 	
YKL111C 	5 	46 	
KTI12 	28 	1040 	
HAP4 	19 	929 	
SLD2 	11 	264 	
YKL107W 	22 	694 	
YKL106C-A 	6 	891 	
AAT1 	27 	797 	
SEG2 	77 	4565 	
GFA1 	1 	0 	
APE1 	43 	2641 	
YKL102C 	22 	982 	
HSL1 	72 	2983 	
YKL100C 	26 	818 	
YKL100W-A 	1 	0 	
UTP11 	2 	1 	
MTC2 	13 	759 	
YKL097C 	31 	1466 	
YKL096C-B 	6 	9 	
CWP2 	3 	3 	
CWP1 	22 	595 	
YJU2 	13 	326 	
YJU3 	26 	1501 	
MBR1 	19 	881 	
BUD2 	30 	856 	
YKL091C 	19 	749 	
CUE2 	38 	1573 	
MIF2 	1 	0 	
CAB3 	15 	379 	
CYT2 	25 	1684 	
SRX1 	34 	2684 	
MDH1 	15 	629 	
HOT13 	16 	804 	
YKL083W 	4 	6 	
RRP14 	10 	290 	
TEF4 	24 	1305 	
VMA5 	1 	0 	
SMY1 	24 	890 	
DHR2 	6 	129 	
YKL077W 	26 	1000 	
PSY1 	4 	86 	
YKL075C 	35 	1164 	
MUD2 	47 	2171 	
LHS1 	34 	1356 	
STB6 	40 	1357 	
YKL071W 	25 	1492 	
YKL070W 	12 	664 	
YKL069W 	13 	377 	
YKL068W-A 	6 	47 	
NUP100 	43 	2408 	
YNK1 	9 	320 	
YKL066W 	34 	2503 	
YKL065W-A 	6 	19 	
YET1 	19 	735 	
MNR2 	50 	2404 	
YKL063C 	15 	359 	
MSN4 	21 	1028 	
BLI1 	11 	1081 	
FBA1 	2 	3 	
MPE1 	30 	1261 	
TOA2 	0 	0 	
NUP120 	31 	762 	
TMA19 	15 	313 	
OAR1 	19 	667 	
DEF1 	2 	1 	
MDM35 	6 	189 	
YKL053W 	19 	1640 	
ASK1 	27 	2475 	
SFK1 	50 	2484 	
YKL050C 	58 	2723 	
CSE4 	1 	0 	
ELM1 	32 	755 	
ANR2 	46 	4791 	
DCW1 	23 	1628 	
PRI2 	2 	3 	
YKL044W 	6 	6 	
PHD1 	30 	1439 	
SPC42 	1 	0 	
VPS24 	3 	5 	
NFU1 	16 	407 	
PTM1 	37 	1429 	
RGT1 	77 	4475 	
AIM26 	39 	2805 	
YKL036C 	33 	1767 	
UGP1 	2 	1 	
TUL1 	57 	5006 	
YKL033W-A 	20 	657 	
TTI1 	3 	13 	
IXR1 	77 	4110 	
YKL031W 	36 	3321 	
YKL030W 	43 	11474 	
MAE1 	121 	19216 	
TFA1 	18 	236 	
TCD2 	87 	7442 	
GPX1 	25 	1368 	
PAN3 	106 	8867 	
URA6 	1 	0 	
YKL023C-A 	21 	1102 	
YKL023W 	39 	1663 	
CDC16 	34 	4197 	
MAK11 	16 	1477 	
SPT23 	86 	4360 	
RAM2 	0 	0 	
YKL018C-A 	15 	1156 	
SWD2 	1 	0 	
HCS1 	102 	5184 	
ATP7 	25 	741 	
PUT3 	104 	7551 	
URB1 	15 	262 	
ARC19 	0 	0 	
PRP40 	30 	1162 	
CCE1 	63 	4450 	
UFD4 	194 	21450 	
MRT4 	26 	1179 	
LAC1 	103 	8787 	
CAP1 	54 	4470 	
SFT1 	12 	1395 	
RPL14A 	14 	637 	
BYE1 	140 	10370 	
AUR1 	18 	1582 	
MRP17 	25 	1299 	
DID4 	29 	1243 	
MET14 	39 	4378 	
VPS1 	83 	2113 	
PAP1 	15 	5976 	
OSH6 	111 	17167 	
ECM9 	25 	264 	
YKR005C 	140 	17366 	
MRPL13 	43 	1118 	
MEH1 	40 	1445 	
RSC4 	6 	61 	
FOX2 	180 	13583 	
TOF2 	146 	8666 	
YKR011C 	48 	2824 	
YKR012C 	36 	2912 	
PRY2 	55 	3448 	
YPT52 	15 	266 	
YKR015C 	71 	7828 	
MIC60 	72 	3112 	
HEL1 	56 	5986 	
YKR018C 	75 	6614 	
IRS4 	84 	4326 	
VPS51 	6 	42 	
ALY1 	97 	5947 	
NTR2 	24 	680 	
YKR023W 	65 	5211 	
DBP7 	38 	512 	
RPC37 	9 	287 	
GCN3 	54 	3138 	
BCH2 	97 	6882 	
SAP190 	52 	1655 	
SET3 	48 	3719 	
GMH1 	16 	310 	
SPO14 	73 	3461 	
YKR032W 	24 	3600 	
YKR033C 	18 	948 	
DAL80 	36 	2235 	
OPI8 	3 	40 	
DID2 	3 	40 	
CAF4 	74 	6928 	
SPC34 	10 	158 	
KAE1 	2 	5 	
GAP1 	88 	3984 	
YKR040C 	45 	6169 	
YKR041W 	80 	8916 	
UTH1 	10 	278 	
SHB17 	35 	4073 	
UIP5 	86 	7560 	
YKR045C 	32 	1910 	
PET10 	30 	895 	
YKR047W 	11 	259 	
NAP1 	35 	1677 	
FMP46 	14 	429 	
TRK2 	76 	4598 	
YKR051W 	36 	2966 	
MRS4 	17 	827 	
YSR3 	65 	3848 	
DYN1 	148 	4814 	
RHO4 	15 	276 	
TRM2 	54 	3866 	
RPS21A 	12 	224 	
GLG1 	25 	1691 	
TIF1 	11 	296 	
UTP30 	20 	879 	
KTR2 	56 	4348 	
TFA2 	3 	148 	
LAS1 	1 	0 	
OAF3 	39 	1027 	
PAM17 	10 	420 	
CCP1 	31 	3440 	
GPT2 	90 	7440 	
BET3 	4 	14 	
MET1 	56 	3966 	
YKR070W 	37 	1815 	
DRE2 	5 	8 	
SIS2 	31 	1023 	
YKR073C 	21 	4561 	
AIM29 	15 	772 	
YKR075C 	33 	2486 	
YKR075W-A 	12 	993 	
ECM4 	40 	3325 	
MSA2 	24 	415 	
YKR078W 	39 	1646 	
TRZ1 	4 	9 	
MTD1 	26 	1811 	
RPF2 	6 	57 	
NUP133 	28 	1028 	
DAD2 	0 	0 	
HBS1 	27 	460 	
MRPL20 	14 	400 	
PRP16 	13 	348 	
OMA1 	23 	507 	
TVP38 	19 	608 	
TGL4 	37 	1414 	
PXL1 	40 	1561 	
SRL3 	20 	1130 	
SRP40 	18 	1258 	
PTR2 	38 	1851 	
RPL40B 	9 	48 	
MLP1 	59 	2826 	
PCC1 	0 	0 	
ESL2 	59 	5383 	
PCK1 	40 	3882 	
UBP11 	27 	1238 	
BAS1 	18 	340 	
SKG1 	23 	384 	
SIR1 	31 	1446 	
FLO10 	57 	3032 	
NFT1 	48 	2195 	
YKR104W 	17 	374 	
VBA5 	16 	368 	
GEX2 	31 	1538 	
YLL067C 	0 	0 	
YLL067W-A 	0 	0 	
YLL066W-B 	2 	4 	
YLL066C 	1 	0 	
YLL066W-A 	0 	0 	
YLL065W 	6 	20 	
PAU18 	0 	0 	
AYT1 	25 	1623 	
MHT1 	15 	496 	
MMP1 	39 	2299 	
GTT2 	39 	3477 	
YLL059C 	24 	3901 	
YLL058W 	22 	600 	
JLP1 	43 	1719 	
YLL056C 	25 	847 	
YCT1 	31 	755 	
YLL054C 	27 	551 	
YLL053C 	12 	523 	
AQY2 	10 	341 	
FRE6 	41 	1794 	
COF1 	1 	0 	
LDB18 	6 	112 	
YBT1 	76 	5664 	
YLL047W 	10 	90 	
RNP1 	12 	166 	
RPL8B 	17 	425 	
YLL044W 	13 	225 	
FPS1 	15 	246 	
ATG10 	6 	209 	
SDH2 	18 	826 	
VPS13 	143 	8417 	
UBI4 	22 	939 	
ENT4 	50 	4730 	
YLL037W 	8 	24 	
PRP19 	1 	0 	
GRC3 	0 	0 	
RIX7 	2 	11 	
IRC19 	12 	223 	
YLL032C 	45 	846 	
GPI13 	3 	2 	
RRT7 	13 	1576 	
FRA1 	111 	7924 	
TPO1 	60 	5262 	
ISA1 	14 	189 	
HSP104 	72 	4226 	
PAU17 	13 	425 	
SSA2 	35 	1270 	
POM33 	42 	3394 	
HIF1 	56 	2616 	
SPA2 	115 	6944 	
YLL020C 	10 	589 	
KNS1 	142 	9250 	
YLL019W-A 	13 	217 	
COX19 	13 	254 	
DPS1 	0 	0 	
BPT1 	132 	5071 	
EMC6 	12 	981 	
PUF3 	107 	12037 	
YEH1 	126 	17645 	
SOF1 	8 	169 	
PSR1 	74 	11184 	
COX17 	14 	1500 	
DRS1 	31 	1898 	
YLL007C 	56 	1320 	
YLL006W-A 	15 	4102 	
MMM1 	15 	465 	
SPO75 	99 	8093 	
ORC3 	0 	0 	
SFI1 	31 	3926 	
RTT109 	93 	2477 	
DNM1 	212 	26213 	
YLR001C 	228 	28230 	
NOC3 	21 	1006 	
CMS1 	62 	3478 	
THI73 	115 	13296 	
SSL1 	4 	13 	
SSK1 	109 	7377 	
NSE1 	3 	61 	
PAM18 	0 	0 	
RLP24 	2 	43 	
TEN1 	2 	6 	
LOT6 	32 	4568 	
YLR012C 	11 	1286 	
GAT3 	16 	144 	
PPR1 	122 	8988 	
BRE2 	61 	2212 	
PML1 	34 	4827 	
MEU1 	48 	2876 	
POM34 	43 	1751 	
PSR2 	67 	4032 	
YEH2 	69 	5713 	
IRC25 	21 	390 	
SDO1 	4 	28 	
IZH3 	36 	1700 	
UBR2 	160 	12994 	
SNF7 	2 	1 	
SED5 	0 	0 	
AAT2 	0 	0 	
ADE16 	62 	3992 	
RPL15A 	2 	1 	
YLR030W 	21 	456 	
YLR031W 	5 	29 	
RAD5 	47 	1470 	
RSC58 	3 	71 	
SMF3 	31 	1465 	
MLH2 	74 	7908 	
YLR036C 	12 	82 	
PAU23 	9 	992 	
COX12 	6 	148 	
RIC1 	23 	543 	
AFB1 	13 	737 	
YLR041W 	5 	48 	
YLR042C 	11 	331 	
TRX1 	4 	103 	
PDC1 	45 	1427 	
STU2 	36 	1363 	
YLR046C 	15 	317 	
FRE8 	38 	2455 	
